company_name,industry,country,monthly_subscription,users,churn_risk,last_active_date,support_tickets_last_6_months,nps_score
Adams Inc,Healthcare,Niue,3409.34,215,Medium,4/8/2025,21,-31
Nolan Ltd,Healthcare,Jersey,1525.41,251,Medium,4/8/2025,1,-56
Mccullough Group,Manufacturing,American Samoa,2551.71,363,Low,4/8/2025,9,-25
Carter Ltd,Retail,Maldives,3950.95,6,Low,4/8/2025,1,-60
"Moore, Yates and Hicks",Finance,Tuvalu,2831.23,225,Medium,4/8/2025,18,-4
Mendez PLC,Healthcare,Monaco,1318.64,439,Low,4/8/2025,14,-30
Melton PLC,Technology,Jersey,2005.13,236,Medium,4/8/2025,14,-42
King Group,Education,Marshall Islands,3549.63,455,Medium,4/8/2025,20,-50
"Brown, Martin and Torres",Technology,New Caledonia,682.26,320,High,4/8/2025,12,81
Rodriguez Group,Retail,Dominican Republic,3285.99,454,High,4/8/2025,14,77
Munoz and Sons,Finance,Albania,144.74,283,High,4/8/2025,10,-76
"Sims, Lee and Palmer",Technology,French Guiana,2304.77,399,Medium,4/8/2025,4,10
Hudson-Molina,Finance,Malta,3027.08,200,Medium,4/8/2025,2,-69
"Lewis, Larson and Johnson",Finance,Kyrgyz Republic,3400.64,160,Medium,4/8/2025,8,71
Foley PLC,Technology,Guinea-Bissau,761.66,180,Low,4/8/2025,13,49
Green-Turner,Healthcare,Greece,4983.44,371,High,4/8/2025,25,18
"Khan, Scott and Townsend",Manufacturing,Northern Mariana Islands,317.29,45,Low,4/8/2025,15,-100
Simmons Ltd,Manufacturing,Iceland,617.32,470,Medium,4/8/2025,1,14
Scott-Chen,Healthcare,Norway,430.77,122,High,4/8/2025,22,-67
"Bird, Johnson and Daniels",Healthcare,Luxembourg,4587.61,390,High,4/8/2025,1,36
Park-Shelton,Manufacturing,Cameroon,4522.3,123,Low,4/8/2025,19,58
Lang Group,Retail,Madagascar,2091.38,268,Low,4/8/2025,23,78
"Rivera, Rangel and Shepherd",Education,New Zealand,1908.86,168,Medium,4/8/2025,13,-13
Stevens Group,Retail,Luxembourg,2540.76,343,Low,4/8/2025,3,46
"Wilson, Boyle and Delgado",Retail,Uruguay,3033.77,26,High,4/8/2025,13,75
Scott Group,Healthcare,Zimbabwe,920.64,407,High,4/8/2025,15,2
Bryant-Pena,Finance,Qatar,802.99,28,Low,4/8/2025,22,76
"Fuller, Barnes and Moore",Healthcare,Italy,743.32,392,Medium,4/8/2025,13,-22
"Garcia, Stevens and Hayes",Healthcare,Cayman Islands,2512.71,117,Low,4/8/2025,3,-100
Perez LLC,Education,Ireland,675.84,331,Medium,4/8/2025,22,-13
Martinez LLC,Finance,Western Sahara,4849.46,353,High,4/8/2025,7,-59
Willis Ltd,Education,Paraguay,3832.06,491,Low,4/8/2025,2,-18
Pacheco and Sons,Education,Svalbard & Jan Mayen Islands,4794.65,117,Low,4/8/2025,9,-23
Pacheco Ltd,Manufacturing,India,656.21,273,High,4/8/2025,24,-87
Blair Group,Retail,Anguilla,1324.88,464,High,4/8/2025,7,99
"Brown, Richardson and Beard",Finance,Svalbard & Jan Mayen Islands,3475.25,238,High,4/8/2025,19,26
Moore-Chavez,Finance,Sierra Leone,2634.65,384,Low,4/8/2025,6,86
Gomez PLC,Healthcare,Serbia,2362.65,194,Medium,4/8/2025,7,-94
Kemp-Barnes,Healthcare,Uzbekistan,3042.89,375,Low,4/8/2025,0,-12
"Dixon, Wheeler and Arellano",Education,Papua New Guinea,518.23,56,Low,4/8/2025,20,-49
"Martinez, Farrell and Ford",Technology,Syrian Arab Republic,2390.84,310,High,4/8/2025,17,73
Carlson-Brown,Education,Timor-Leste,1571.59,137,High,4/8/2025,4,-40
Delacruz Ltd,Healthcare,Guadeloupe,2898.42,451,Medium,4/8/2025,11,86
Silva PLC,Healthcare,Netherlands Antilles,962.6,342,High,4/8/2025,15,-55
"Wilson, Haynes and Weber",Finance,Niger,1364.78,470,Medium,4/8/2025,15,-47
"Lynch, Johnson and Mitchell",Healthcare,Liechtenstein,4132.33,273,High,4/8/2025,5,-64
"Harris, Russell and Banks",Healthcare,Austria,4215.68,403,Medium,4/8/2025,6,-96
"Ramirez, Harris and Stewart",Education,Spain,1047.43,497,Medium,4/8/2025,11,-28
Hull-Bird,Education,Kyrgyz Republic,2182.09,466,Medium,4/8/2025,6,-47
Gordon Inc,Technology,Kazakhstan,2256.71,486,Low,4/8/2025,9,-41
Smith Group,Healthcare,French Southern Territories,3480.65,6,Medium,4/8/2025,19,-69
"Mclaughlin, Wiley and Smith",Manufacturing,Mexico,4197.4,248,High,4/8/2025,16,-78
"Smith, Jenkins and Goodman",Education,Japan,3969.48,72,Low,4/8/2025,4,16
Carter PLC,Healthcare,Bolivia,1800.33,24,High,4/8/2025,3,-27
Delgado LLC,Technology,Seychelles,3167.36,451,Low,4/8/2025,21,88
Jones LLC,Retail,Marshall Islands,2518.21,154,Medium,4/8/2025,18,-60
"Snyder, Williamson and Robbins",Manufacturing,Belize,3294.73,145,Medium,4/8/2025,1,74
"Weiss, Patrick and Bruce",Finance,American Samoa,4355.07,493,Low,4/8/2025,6,-19
Shields-Green,Retail,Burundi,3506.07,404,Medium,4/8/2025,24,86
Miller LLC,Education,Mali,1032.08,220,Low,4/8/2025,5,-68
"Garcia, Mata and Ashley",Technology,Sao Tome and Principe,1734.22,134,Low,4/8/2025,11,-63
Carroll-Lopez,Education,Cyprus,235.65,406,Low,4/8/2025,7,-80
"Garcia, Torres and Austin",Manufacturing,Liberia,1853.65,201,Low,4/8/2025,25,-18
Stewart-Campbell,Technology,Saudi Arabia,2151.26,301,Low,4/8/2025,5,-57
Johnson-Adams,Education,Benin,2495.22,290,Medium,4/8/2025,17,46
Chang-Rodriguez,Technology,Kenya,3310.63,88,Medium,4/8/2025,1,79
Bennett PLC,Technology,Wallis and Futuna,4223.22,63,Low,4/8/2025,5,-32
Hayes-Chapman,Healthcare,Austria,3896.48,439,Low,4/8/2025,21,-25
Todd Group,Technology,Bulgaria,4235.78,422,Low,4/8/2025,19,60
Smith-Downs,Finance,Nauru,569.13,5,Medium,4/8/2025,20,39
Hernandez PLC,Technology,Albania,2149.28,400,High,4/8/2025,9,-52
Simpson-Moore,Technology,Azerbaijan,2106.67,393,Medium,4/8/2025,21,-36
Colon-Smith,Education,Trinidad and Tobago,1093.62,384,Low,4/8/2025,14,40
Mercado PLC,Technology,Tanzania,3927.11,81,Low,4/8/2025,15,1
Soto-Wilson,Healthcare,Swaziland,1265.9,245,Medium,4/8/2025,18,23
Williams-Evans,Finance,Morocco,2026.73,259,High,4/8/2025,7,96
Zimmerman LLC,Technology,Nicaragua,4840.21,36,Low,4/8/2025,9,-33
"Chaney, Armstrong and Wells",Technology,United States Virgin Islands,1356.59,247,Medium,4/8/2025,11,49
Miller-Rivera,Manufacturing,Bouvet Island (Bouvetoya),1276.27,488,Medium,4/8/2025,5,-64
Phillips Group,Technology,Sao Tome and Principe,1669.88,194,Low,4/8/2025,8,-41
Ochoa Group,Technology,Zambia,2661.62,394,High,4/8/2025,2,-19
Smith Group,Finance,Vanuatu,2996.07,180,Medium,4/8/2025,12,-57
Gonzalez PLC,Healthcare,Algeria,3733.38,440,High,4/8/2025,7,35
"Schwartz, Benitez and Hodges",Retail,Nauru,2607.02,124,Medium,4/8/2025,15,66
"Wong, Vargas and Ramos",Manufacturing,Iceland,3136.28,276,High,4/8/2025,11,45
"Lee, Vaughn and Walker",Technology,Holy See (Vatican City State),2309.56,481,Medium,4/8/2025,16,-29
Moore-Cervantes,Manufacturing,Lithuania,1059.15,178,Medium,4/8/2025,20,-49
"Davis, Miller and Goodwin",Technology,Namibia,4502.92,91,Low,4/8/2025,6,-16
"Jones, Stewart and Hunter",Healthcare,Bouvet Island (Bouvetoya),1912.33,353,High,4/8/2025,20,5
Allen PLC,Technology,Azerbaijan,4060.22,183,Medium,4/8/2025,6,-94
Spencer PLC,Retail,Cyprus,615.65,405,Medium,4/8/2025,9,99
Davis-Lewis,Healthcare,Mexico,3626.42,162,Low,4/8/2025,22,2
Bauer-Bell,Technology,Poland,4169.16,272,Low,4/8/2025,5,-81
Martin Group,Education,Barbados,2888.96,284,Low,4/8/2025,5,45
Hendricks-Harvey,Manufacturing,Turkey,4363.86,418,Low,4/8/2025,3,89
Dixon Group,Education,India,1562.24,179,Medium,4/8/2025,16,24
Dean-Wood,Retail,Malaysia,3858.49,162,Low,4/8/2025,12,18
"Bush, Nelson and Gonzales",Finance,Portugal,2803.8,278,Medium,4/8/2025,25,-12
"Scott, Hamilton and Fry",Retail,Anguilla,1074.66,273,Low,4/8/2025,7,31
Tran Group,Healthcare,Burkina Faso,2062.18,57,Low,4/8/2025,5,38
Baldwin-Glenn,Manufacturing,Belarus,4163.47,225,Low,4/8/2025,10,28
Patrick-Thompson,Manufacturing,Cuba,2951.53,68,Low,4/8/2025,25,-51
Moore-Jordan,Retail,Peru,1518.07,192,Medium,4/8/2025,9,-67
Lopez LLC,Education,Kyrgyz Republic,374.06,461,High,4/8/2025,5,-70
"Kramer, Brooks and Dean",Retail,Thailand,1283.48,495,High,4/8/2025,16,-7
Farrell-Cain,Manufacturing,Denmark,3736.3,324,Low,4/8/2025,14,1
"Kramer, Lee and Tran",Manufacturing,Norfolk Island,4033.37,198,Low,4/8/2025,20,-2
Graves-Davis,Manufacturing,Senegal,3657.55,266,Low,4/8/2025,20,-47
"Brooks, Richardson and Caldwell",Retail,Korea,2498.29,409,Low,4/8/2025,15,98
Barajas-Marshall,Technology,Iceland,3509.9,162,High,4/8/2025,11,61
Wilson LLC,Education,American Samoa,2430.28,166,High,4/8/2025,9,41
Parker-Dunlap,Healthcare,Myanmar,4955.13,231,Low,4/8/2025,15,-31
Bowen-Miranda,Finance,Uzbekistan,842.98,149,High,4/8/2025,23,-6
Jacobson LLC,Retail,Saint Lucia,4478.93,223,Low,4/8/2025,1,-55
Kane-Fowler,Manufacturing,Macao,4644.37,437,Low,4/8/2025,0,61
"Bauer, Walker and Williams",Finance,Canada,4416.93,500,Medium,4/8/2025,1,38
Brown-Wilson,Retail,Saint Helena,4370.42,298,High,4/8/2025,19,20
"Merritt, Calhoun and Johnson",Education,Syrian Arab Republic,2968.91,358,High,4/8/2025,2,-17
"Riddle, Foster and Turner",Healthcare,Northern Mariana Islands,3225.25,17,High,4/8/2025,7,80
Young-Lowery,Manufacturing,Bosnia and Herzegovina,793.13,233,Low,4/8/2025,5,71
Tate Group,Healthcare,Colombia,3631.87,261,Low,4/8/2025,10,-27
Ball-Bishop,Manufacturing,Russian Federation,2807.03,289,High,4/8/2025,20,33
Walls and Sons,Healthcare,Bhutan,633.84,347,Medium,4/8/2025,16,-80
Marquez PLC,Healthcare,Uruguay,3721.86,320,High,4/8/2025,23,44
Dixon-Martinez,Finance,Niue,249.08,273,Medium,4/8/2025,14,-16
Rivera PLC,Finance,Antarctica (the territory South of 60 deg S),3045.47,220,Medium,4/8/2025,13,69
Sanders LLC,Retail,Angola,1983.61,85,Medium,4/8/2025,24,-56
"Williams, Murphy and Mitchell",Education,Reunion,4852.89,49,Medium,4/8/2025,21,-12
Thomas and Sons,Finance,Gabon,3108.4,167,High,4/8/2025,11,-53
Smith-Boyle,Manufacturing,Guyana,698.14,386,Low,4/8/2025,22,-15
"Melendez, Gaines and Simpson",Finance,Bahrain,3463.79,86,Medium,4/8/2025,18,-38
"Walsh, Young and Moore",Finance,Gibraltar,4276.17,477,Medium,4/8/2025,11,9
Riley PLC,Retail,Croatia,1577.81,290,High,4/8/2025,15,-96
Wright LLC,Finance,Malta,591.96,120,Medium,4/8/2025,11,-1
"Serrano, Carson and Weaver",Retail,Niger,3505.02,232,Low,4/8/2025,21,70
Nielsen-Hernandez,Retail,Iceland,992.5,208,High,4/8/2025,25,79
"Nelson, Carter and Barr",Finance,Kiribati,2901.61,442,Medium,4/8/2025,3,-46
Allen Inc,Finance,Andorra,2648.04,402,Low,4/8/2025,15,-7
Reyes LLC,Manufacturing,Dominica,4683.46,442,High,4/8/2025,7,69
"Mclean, Lopez and Wheeler",Education,Kiribati,4044.96,425,Low,4/8/2025,11,91
Bailey-Ruiz,Technology,South Africa,766.61,229,High,4/8/2025,4,41
Barker-Howell,Education,Wallis and Futuna,2567.27,51,High,4/8/2025,16,12
Robinson LLC,Education,United States Virgin Islands,963.51,306,High,4/8/2025,6,-84
Moore-Brown,Technology,Morocco,317.22,18,High,4/8/2025,21,99
Smith and Sons,Finance,Malawi,4547.95,459,High,4/8/2025,14,86
Gray-Green,Finance,Reunion,1853.38,192,Low,4/8/2025,0,6
Zimmerman-Allen,Healthcare,Fiji,4136.74,181,High,4/8/2025,19,45
Durham and Sons,Finance,Tanzania,2482.29,91,Low,4/8/2025,12,-67
Pacheco-Palmer,Retail,Aruba,733.3,164,High,4/8/2025,12,18
Barnett PLC,Retail,Tokelau,1185.53,478,High,4/8/2025,22,-88
"Hall, Ford and Obrien",Retail,New Caledonia,3038.55,248,High,4/8/2025,24,-62
Harmon PLC,Finance,Mauritania,3008.13,347,Low,4/8/2025,14,56
Powell and Sons,Education,Gibraltar,3936.92,42,High,4/8/2025,21,-94
Burch Group,Manufacturing,Canada,869.4,92,Medium,4/8/2025,23,89
Stone PLC,Healthcare,Bahamas,4556.16,91,High,4/8/2025,22,-56
Thomas Ltd,Education,Western Sahara,740.52,248,High,4/8/2025,3,79
"Ramirez, Kim and Thompson",Education,Anguilla,3884.78,308,High,4/8/2025,5,-12
Perry-Anderson,Finance,Russian Federation,1071.54,355,High,4/8/2025,0,-29
Pope Group,Manufacturing,Cyprus,2376.01,186,Low,4/8/2025,3,85
Burch Inc,Technology,Turkey,292.19,197,High,4/8/2025,3,93
Shaw-Jones,Retail,Western Sahara,4776.14,278,High,4/8/2025,0,-68
"James, Noble and Mccarty",Retail,Cameroon,527.33,351,Low,4/8/2025,23,-6
Salazar PLC,Retail,Mayotte,538.79,392,High,4/8/2025,12,67
Booth-Rice,Technology,Ghana,2683.98,411,Medium,4/8/2025,18,5
Chen LLC,Healthcare,Tajikistan,2039.28,473,High,4/8/2025,22,-50
Jackson-Chavez,Education,Hong Kong,990.84,364,High,4/8/2025,23,0
Krueger-White,Retail,Djibouti,3540.19,126,Low,4/8/2025,21,23
James PLC,Finance,Afghanistan,2905.88,448,Medium,4/8/2025,1,40
"Clark, Turner and Murillo",Education,Sudan,173.96,345,Low,4/8/2025,9,38
"Carey, Taylor and Stein",Education,Australia,3686.96,497,Medium,4/8/2025,3,94
"Keith, Vazquez and Kennedy",Education,Korea,4860.83,190,Low,4/8/2025,4,48
Clark and Sons,Technology,Guinea-Bissau,631.29,8,High,4/8/2025,14,28
Aguilar-Dickerson,Education,Bermuda,268.52,93,Low,4/8/2025,1,-68
Powell Group,Technology,Jordan,313.65,54,Medium,4/8/2025,17,-83
"Morgan, Marshall and Nelson",Healthcare,Belgium,1819.75,265,High,4/8/2025,19,29
Williams-Taylor,Technology,Albania,2778.51,463,Low,4/8/2025,9,-8
Harvey and Sons,Manufacturing,Cook Islands,4353.51,341,Medium,4/8/2025,3,82
"Thomas, Bernard and Schneider",Finance,Mayotte,2148.13,198,High,4/8/2025,24,-24
Jones Ltd,Technology,Ukraine,1611.76,129,Low,4/8/2025,15,8
Rice PLC,Education,Rwanda,2660.88,93,Medium,4/8/2025,22,81
Mora-Frey,Finance,Western Sahara,2984.25,310,Medium,4/8/2025,23,-46
"Payne, Alvarado and Edwards",Manufacturing,British Indian Ocean Territory (Chagos Archipelago),4400.68,128,Low,4/8/2025,20,56
Smith-Brown,Healthcare,Lao People's Democratic Republic,4776.92,435,Low,4/8/2025,3,-87
Conrad-Mccall,Manufacturing,Russian Federation,1291.43,327,Low,4/8/2025,12,72
Ramirez-Johnson,Manufacturing,Germany,1119.35,158,High,4/8/2025,25,-25
George Group,Education,Saint Kitts and Nevis,3285.68,216,High,4/8/2025,20,98
"Williams, Ewing and Huffman",Retail,Lesotho,1202.61,152,Medium,4/8/2025,15,67
Durham LLC,Healthcare,Switzerland,1269.15,447,Low,4/8/2025,11,61
"Gonzalez, Smith and Guzman",Education,Paraguay,649.33,305,Low,4/8/2025,14,13
Gilbert-Campbell,Finance,Sudan,796.57,261,Low,4/8/2025,11,-27
White PLC,Technology,British Virgin Islands,4527.43,378,Medium,4/8/2025,8,23
"Ray, Adams and Robinson",Manufacturing,Sri Lanka,3321.44,82,High,4/8/2025,23,59
"Reyes, Abbott and Thomas",Manufacturing,Czech Republic,4976.95,343,High,4/8/2025,15,44
Patel Ltd,Healthcare,Hungary,1823.33,250,High,4/8/2025,22,-53
"Wright, Perkins and Ray",Healthcare,Ghana,3716.36,297,High,4/8/2025,2,-45
Myers-Mendoza,Retail,India,1134.73,337,Medium,4/8/2025,6,88
"Boyd, Matthews and Sanchez",Retail,Israel,4081.63,407,Low,4/8/2025,11,84
Welch Ltd,Education,Faroe Islands,464.37,255,Medium,4/8/2025,23,23
"Perry, Juarez and Sanchez",Manufacturing,Djibouti,565.44,232,Low,4/8/2025,18,27
"Benson, Campbell and Neal",Technology,Maldives,2839.99,16,Medium,4/8/2025,20,56
Torres PLC,Finance,Palau,3039.98,308,Low,4/8/2025,23,-100
"Flowers, Hall and Greene",Retail,Bhutan,2215.32,134,Medium,4/8/2025,6,-63
"Brown, Williams and Anderson",Finance,Bermuda,4586.61,449,Medium,4/8/2025,4,-82
Howard-Smith,Education,Greenland,2855.01,464,Low,4/8/2025,23,90
"Coleman, Lewis and Serrano",Education,Kenya,2424.88,7,High,4/8/2025,23,-55
Robinson Inc,Healthcare,Turkey,2373.92,157,High,4/8/2025,9,62
Randolph-Anderson,Education,Cape Verde,1831.79,351,Low,4/8/2025,5,57
Proctor-Smith,Education,Philippines,1487.81,301,Medium,4/8/2025,0,-35
Owen Group,Technology,Maldives,2597.78,490,High,4/8/2025,25,61
Sanchez-Ramos,Healthcare,Seychelles,4847.46,251,Medium,4/8/2025,17,39
"Wiggins, Grimes and Carlson",Healthcare,Tuvalu,2625.84,433,Low,4/8/2025,25,29
Chambers Group,Technology,Montenegro,2002.11,84,Low,4/8/2025,18,-31
Pittman LLC,Manufacturing,Estonia,2724.53,261,High,4/8/2025,13,-44
Clark and Sons,Healthcare,Sierra Leone,3703.42,389,High,4/8/2025,20,5
Valencia-White,Technology,British Virgin Islands,4140.6,343,Medium,4/8/2025,16,-79
"Sutton, Wilcox and Hammond",Healthcare,Lesotho,751.72,58,High,4/8/2025,12,90
Lowe-Velazquez,Retail,Aruba,2851.92,30,Medium,4/8/2025,13,37
Stewart-Parker,Healthcare,Armenia,1651.74,480,Medium,4/8/2025,4,14
Mathews-Holloway,Healthcare,Ethiopia,1084.08,280,Medium,4/8/2025,0,32
Cruz-Novak,Technology,Bahrain,494.08,101,Low,4/8/2025,0,-4
Watkins-Clements,Finance,Honduras,3920.02,143,Medium,4/8/2025,14,39
"Horton, Long and Walton",Retail,Heard Island and McDonald Islands,948.36,168,High,4/8/2025,18,-9
"Stephens, Edwards and Flynn",Healthcare,Palestinian Territory,1296.46,373,Medium,4/8/2025,19,87
Green-Rogers,Manufacturing,Jordan,1314.57,265,Medium,4/8/2025,25,92
Morales Group,Technology,Cape Verde,754.64,59,Low,4/8/2025,16,29
Shannon-Lamb,Manufacturing,Bermuda,1632.15,339,Low,4/8/2025,16,36
Greene-Berry,Manufacturing,Cocos (Keeling) Islands,952.07,486,Medium,4/8/2025,1,-54
Silva-Hernandez,Manufacturing,Poland,418.13,243,Medium,4/8/2025,10,60
Douglas-Morales,Manufacturing,Saint Pierre and Miquelon,4107.01,307,High,4/8/2025,9,-72
Moore LLC,Finance,Mauritania,1477.84,161,High,4/8/2025,23,-94
"Zavala, Rodriguez and Daniel",Manufacturing,Uganda,1609.2,429,High,4/8/2025,7,-15
"Schwartz, Flores and Olsen",Education,Seychelles,1567.22,451,Low,4/8/2025,12,-42
West Group,Manufacturing,Germany,153.72,199,Low,4/8/2025,9,-67
Davis Ltd,Technology,Botswana,1955.87,61,Medium,4/8/2025,25,-13
Edwards-Anderson,Manufacturing,Nauru,4749.33,84,Medium,4/8/2025,24,-86
Davis-Blankenship,Retail,Guinea,3777.57,407,Medium,4/8/2025,19,91
Bridges Inc,Healthcare,Cook Islands,3260.81,336,Low,4/8/2025,7,-10
Young-Stewart,Manufacturing,Georgia,1211.31,162,Low,4/8/2025,20,82
Graham-Jones,Manufacturing,Norfolk Island,700.31,226,Low,4/8/2025,18,-55
Shields-Ford,Healthcare,Guinea-Bissau,747.9,267,High,4/8/2025,7,-14
Morrison-Salinas,Manufacturing,Afghanistan,1361.31,298,Medium,4/8/2025,19,3
Ramirez and Sons,Technology,Brunei Darussalam,455.37,269,Low,4/8/2025,22,-10
Hernandez-Cummings,Manufacturing,Serbia,4761.2,186,Low,4/8/2025,1,-72
"Cabrera, Thomas and Ramirez",Retail,Sao Tome and Principe,3815.34,489,High,4/8/2025,13,-2
Dawson-Davis,Education,Georgia,2371.18,392,High,4/8/2025,6,9
Benson-Ward,Retail,Thailand,1104.81,285,High,4/8/2025,6,76
"Robinson, Patel and Roberts",Retail,Australia,4864.62,30,High,4/8/2025,3,43
Smith-Shaw,Education,American Samoa,220.03,197,Medium,4/8/2025,13,58
Allen-Roth,Retail,Gambia,4718.08,80,Low,4/8/2025,20,-91
Armstrong-Proctor,Retail,Pitcairn Islands,377.56,80,Low,4/8/2025,25,-86
Stevenson LLC,Healthcare,Czech Republic,1082.21,225,Medium,4/8/2025,4,96
